seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
0,0.8734104446381921,true,111,-0.13353546605765185,false,,0.9075502883148466,true,90,0.9078577138334509,true,90,-0.6448131788550375,false,,0.8756916700717993,true,108,0.0021262186591134995,-0.024310048718351338
1,0.9224980664069018,true,94,0.1688243633868225,false,,0.9352798818922823,true,78,0.9347716285259831,true,78,-0.5878298890114689,false,,0.927752868937389,true,88,0.0037957297174650772,-0.010777043731652579
2,0.8944651938325316,true,105,-0.0792808098298662,false,,0.9187098340929007,true,86,0.9189667475632901,true,86,-0.6321501531195916,false,,0.9024191068490228,true,101,0.017062317696105625,-0.0027561931965429725
3,0.9064318752956858,true,75,0.005103923672716896,false,,0.9263405365630709,true,70,0.9267909635979057,true,70,-0.6289215834169102,false,,0.9075495984455283,true,73,-0.03053553211963195,-0.027238712074146562
4,0.9136198240597366,true,87,0.09792230759781091,false,,0.9287262755425418,true,76,0.9286732929544222,true,76,-0.5991425205842665,false,,0.9148617290865353,true,90,-0.0009833210799508546,0.05654371214158177
5,0.9166995604661009,true,92,-0.007957391441505837,false,,0.9304633910890824,true,80,0.9303363279486869,true,80,-0.63744394964285,false,,0.9209267252514102,true,88,0.007427339339477545,-0.006452883091724516
6,0.9241699834594045,true,69,0.11043058582104996,false,,0.9364802984185181,true,64,0.9364986449174018,true,63,-0.6042822956799815,false,,0.9229722241534104,true,71,-0.05895261788820781,-0.02074487865417006
7,0.9060753331077238,true,105,0.010883335323368857,false,,0.9255921681959473,true,84,0.9249958722039461,true,85,-0.6148439443108515,false,,0.9203291225596891,true,92,0.026460560524305687,-0.03263519773541997
8,0.9046210229355232,true,81,0.011190202344173459,false,,0.9240074723429348,true,75,0.9240223042893277,true,75,-0.6181711485319671,false,,0.9081981375804812,true,79,0.0076704915254987354,-0.03474408947340477
9,0.8868301386989693,true,107,0.1825343251600121,false,,0.9144010106879055,true,86,0.9135777547059719,true,85,-0.5720178669851759,false,,0.882331265431667,true,113,0.006049827000194725,-0.014640710151870403
10,0.8847377641113596,true,77,0.002083472984707494,false,,0.9159590168979231,true,72,0.9160167137024877,true,74,-0.6341117823266194,false,,0.8887383469600686,true,76,0.004529750068051341,-0.016086335334748392
11,0.8963972715338924,true,107,-0.04534514775895485,false,,0.9199924845670313,true,85,0.9197803388578086,true,85,-0.6248667391123504,false,,0.9020517612216087,true,103,-0.0024814153696551136,-0.02828078482877846
12,0.8258827308528107,true,131,-0.2754878905259558,false,,0.8879270271563151,true,96,0.8878736751770836,true,96,-0.6725097893347356,false,,0.826782721648208,true,130,0.06577705454469748,0.004542643160169724
13,0.8589161135307991,true,124,-0.15637211575367546,false,,0.9016030121920321,true,94,0.8999699082876335,true,94,-0.648375415631579,false,,0.8607040437555654,true,123,-0.01415962112121305,-0.03889887521871921
